title:"What is this HTML Tag?"
front,back
"Defines a comment","<!--...-->"
"Defines the document type","<!DOCTYPE>"
"Defines a hyperlink","<a>"
"Defines an abbreviation or an acronym","<abbr>"
"Defines contact information for the author/owner of a document","<address>"
"Defines an area inside an image-map","<area>"
"Defines an article","<article>"
"Defines content aside from the page content","<aside>"
"Defines sound content","<audio>"
"Defines bold text","<b>"
"Specifies the base URL/target for all relative URLs in a document","<base>"
"Isolates a part of text that might be formatted in a different direction from other text outside it","<bdi>"
"Overrides the current text direction","<bdo>"
"Defines a section that is quoted from another source","<blockqoute>"
"Defines the document's body","<body>"
"Defines a clickable button","<button>"
"Defines a single line break","<br>"
"Used to draw graphics, on the fly, via scripting (usually JavaScript)","<canvas>"
"Defines a table caption","<caption>"
"Defines the title of a work","<cite>"
"Defines a piece of computer code","<code>"
"Specifies column properties for each column within a <colgroup> element","<col>"
"Specifies a group of one or more columns in a table for formatting","<colgroup>"
"Specifies a list of pre-defined options for input controls","<datalist>"
"Defines a description/value of a term in a description list","<dd>"
"Defines text that has been deleted from a document","<del>"
"Defines additional details that the user can view or hide","<details>"
"Represents the defining instance of a term","<dfn>"
"Defines a dialog box or window","<dialog>"
"Defines a section in a document","<div>"
"Defines a description list","<dl>"
"Defines a term/name in a description list","<dt>"
"Defines emphasized text","<em>"
"Defines a container for an external (non-HTML) application","<embed>"
"Groups related elements in a form","<fieldset>"
"Defines a caption for a <figure> element","<figcaption>"
"Specifies self-contained content","<figure>"
"Defines a footer for a document or section","<footer>"
"Defines an HTML form for user input","<form>"
"Defines HTML headings level 1","<h1>"
"Defines HTML headings level 2","<h2>"
"Defines HTML headings level 3","<h3>"
"Defines HTML headings level 4","<h4>"
"Defines HTML headings level 5","<h5>"
"Defines HTML headings level 6","<h6>"
"Defines information about the document","<head>"
"Defines a header for a document or section","<header>"
"Defines a thematic change in the content","<hr>"
"Defines the root of an HTML document","<html>"
"Defines a part of text in an alternate voice or mood","<i>"
"Defines an inline frame","<iframe>"
"Defines an image","<img>"
"Defines an input control","<input>"
"Defines a text that has been inserted into a document","<ins>"
"Defines keyboard input","<kbd>"
"Defines a key-pair generator field (for forms)","<keygen>"
"Defines a label for an <input> element","<label>"
"Defines a caption for a <fieldset> element","<legend>"
"Defines a list item","<li>"
"Defines the relationship between a document and an external resource (most used to link to style sheets)","<link>"
"Specifies the main content of a document","<main>"
"Defines a client-side image-map","<map>"
"Defines marked/highlighted text","<mark>"
"Defines a list/menu of commands","<menu>"
"Defines a command/menu item that the user can invoke from a popup menu","<menuitem>"
"Defines metadata about an HTML document","<meta>"
"Defines navigation links","<nav>"
"Defines a scalar measurement within a known range (a gauge)","<meter>"
"Defines an alternate content for users that do not support client-side scripts","<noscript>"
"Defines an embedded object","<object>"
"Defines an ordered list","<ol>"
"Defines a group of related options in a drop-down list","<optgroup>"
"Defines an option in a drop-down list","<option>"
"Defines the result of a calculation","<output>"
"Defines a paragraph","<p>"
"Defines a parameter for an object","<param>"
"Defines preformatted text","<pre>"
"Represents the progress of a task","<progress>"
"Defines a short quotation","<q>"
"Defines what to show in browsers that do not support ruby annotations","<rp>"
"Defines an explanation/pronunciation of characters (for East Asian typography)","<rt>"
"Defines a ruby annotation (for East Asian typography)","<ruby>"
"Defines text that is no longer correct","<s>"
"Defines sample output from a computer program","<samp>"
"Defines a client-side script","<script>"
"Defines a section in a document","<section>"
"Defines a drop-down list","<select>"
"Defines smaller text","<small>"
"Defines multiple media resources for media elements (<video> and <audio>)","<source>"
"Defines a section in a document","<span>"
"Defines important text","<strong>"
"Defines style information for a document","<style>"
"Defines subscripted text","<sub>"
"Defines a visible heading for a <details> element","<summary>"
"Defines superscripted text","<sup>"
"Defines a table","<table>"
"Groups the body content in a table","<tbody>"
"Defines a cell in a table","<td>"
"Defines a multiline input control (text area)","<textarea>"
"Groups the footer content in a table","<tfoot>"
"Defines a header cell in a table","<th>"
"Groups the header content in a table","<thead>"
"Defines a date/time","<time>"
"Defines a title for the document","<title>"
"Defines a row in a table","<tr>"
"Defines text tracks for media elements (<video> and <audio>)","<track>"
"Defines text that should be stylistically different from normal text","<u>"
"Defines an unordered list","<ul>"
"Defines a variable","<var>"
"Defines a video or movie","<video>"
"Defines a possible line-break","<wbr>"
